"Date";"Price";"Open";"High";"Low";"Vol,";"Change %"
"09/26/2023";"0,1448";"0,1449";"0,1449";"0,1441";"";"0,28%"
"09/25/2023";"0,1444";"0,1442";"0,1448";"0,1442";"";"0,15%"
"09/22/2023";"0,1442";"0,1444";"0,1448";"0,1442";"";"-0,15%"
"09/21/2023";"0,1444";"0,1442";"0,1448";"0,1442";"";"0,15%"
"09/20/2023";"0,1442";"0,1444";"0,1448";"0,1442";"";"-0,15%"
"09/19/2023";"0,1444";"0,1442";"0,1448";"0,1441";"";"0,15%"
"09/18/2023";"0,1442";"0,1444";"0,1448";"0,1441";"";"-0,15%"
"09/15/2023";"0,1444";"0,1442";"0,1448";"0,1442";"";"0,00%"
"09/14/2023";"0,1444";"0,1444";"0,1448";"0,1441";"";"0,00%"
"09/13/2023";"0,1444";"0,1442";"0,1448";"0,1442";"";"0,15%"
"09/12/2023";"0,1442";"0,1444";"0,1448";"0,1441";"";"-0,15%"
"09/11/2023";"0,1444";"0,1444";"0,1448";"0,1442";"";"0,00%"
"09/08/2023";"0,1444";"0,1442";"0,1455";"0,1442";"";"0,15%"
"09/07/2023";"0,1442";"0,1444";"0,1455";"0,1442";"";"-0,50%"
"09/06/2023";"0,1449";"0,1442";"0,1457";"0,1442";"";"0,50%"
"09/05/2023";"0,1442";"0,1444";"0,1457";"0,1442";"";"-0,15%"
"09/04/2023";"0,1444";"0,1444";"0,1448";"0,1443";"";"0,00%"
"09/01/2023";"0,1444";"0,1442";"0,1448";"0,1442";"";"0,15%"
"08/31/2023";"0,1442";"0,1444";"0,1448";"0,1442";"";"-0,15%"
"08/30/2023";"0,1444";"0,1442";"0,1448";"0,1442";"";"0,15%"
"08/29/2023";"0,1442";"0,1444";"0,1448";"0,1442";"";"-0,15%"
"08/28/2023";"0,1444";"0,1442";"0,1448";"0,1442";"";"0,15%"
"08/25/2023";"0,1442";"0,1444";"0,1448";"0,1442";"";"-0,15%"
"08/24/2023";"0,1444";"0,1442";"0,1457";"0,1442";"";"0,15%"
"08/23/2023";"0,1442";"0,1444";"0,1448";"0,1442";"";"-0,15%"
"08/22/2023";"0,1444";"0,1442";"0,1448";"0,1442";"";"-0,07%"
"08/21/2023";"0,1445";"0,1444";"0,1448";"0,1442";"";"0,07%"
"08/18/2023";"0,1444";"0,1442";"0,1448";"0,1442";"";"0,15%"
"08/17/2023";"0,1442";"0,1444";"0,1448";"0,1442";"";"-0,15%"
"08/16/2023";"0,1444";"0,1442";"0,1448";"0,1442";"";"-0,07%"
"08/15/2023";"0,1445";"0,1444";"0,1448";"0,1442";"";"0,07%"
